"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Josh Allen","BUF","607.4","390.1","4,404.9","34.6","13.9","117.3","663.5","6.8","3.8","400.6"
"Patrick Mahomes II","KC","634.2","417.8","4,842.0","36.0","11.7","66.5","359.6","2.8","2.8","373.2"
"Justin Herbert","LAC","625.3","415.3","4,682.0","34.0","13.3","63.9","294.6","3.2","1.4","355.7"
"Lamar Jackson","BAL","520.5","336.7","3,733.0","24.5","13.2","158.7","956.1","4.9","3.5","352.2"
"Kyler Murray","ARI","570.5","383.9","4,254.6","27.3","12.4","107.3","552.0","5.5","2.3","350.6"
"Jalen Hurts","PHI","494.8","307.1","3,644.7","24.4","12.6","144.6","772.9","7.9","2.9","349.8"
"Tom Brady","TB","652.0","433.5","4,841.8","36.3","11.9","27.9","45.7","1.7","2.4","336.9"
"Dak Prescott","DAL","593.6","399.3","4,545.3","32.7","11.7","55.8","230.6","2.9","4.1","332.9"
"Joe Burrow","CIN","570.3","386.6","4,576.1","31.3","12.8","46.6","187.4","2.2","1.8","323.8"
"Aaron Rodgers","GB","558.2","376.6","4,322.7","32.7","7.1","38.7","136.2","1.8","1.6","318.2"
"Matthew Stafford","LAR","586.7","392.1","4,586.4","33.5","13.9","33.3","99.2","1.2","2.4","315.9"
"Trey Lance","SF","468.3","292.7","3,558.4","23.7","12.7","126.2","644.4","5.2","2.6","315.0"
"Russell Wilson","DEN","540.3","356.1","4,109.3","29.1","9.6","62.7","278.8","2.1","2.3","307.0"
"Kirk Cousins","MIN","573.9","378.9","4,347.0","31.2","11.4","29.2","107.1","1.0","2.9","298.6"
"Derek Carr","LV","596.8","399.3","4,498.3","29.0","12.7","38.5","130.0","1.2","3.6","296.2"
"Tua Tagovailoa","MIA","575.2","379.6","4,031.2","25.7","13.3","56.0","206.0","3.0","2.4","284.5"
"Ryan Tannehill","TEN","516.7","340.9","3,755.3","24.2","13.2","55.0","253.6","3.9","2.6","277.1"
"Trevor Lawrence","JAC","585.3","370.3","3,942.8","22.5","14.0","70.6","328.6","2.4","3.0","275.2"
"Justin Fields","CHI","504.7","311.6","3,468.0","18.6","14.5","107.3","593.4","3.7","5.0","269.8"
"Matt Ryan","IND","539.1","352.7","3,937.0","25.9","11.4","35.9","125.5","1.4","3.6","263.5"
"Daniel Jones","NYG","537.2","336.6","3,613.1","20.6","12.5","81.2","424.3","2.7","4.7","263.5"
"Jameis Winston","NO","486.7","305.1","3,523.6","24.7","12.6","53.8","273.7","1.7","2.8","259.3"
"Mac Jones","NE","544.6","359.4","3,945.5","24.9","13.9","41.7","156.3","0.9","2.8","258.7"
"Carson Wentz","WAS","538.3","343.3","3,693.4","22.4","11.6","57.6","240.8","1.9","3.9","252.9"
"Jared Goff","DET","565.1","370.9","3,921.7","24.9","12.5","31.7","80.1","1.0","3.8","250.6"
"Baker Mayfield","CAR","549.9","344.5","3,728.9","21.4","14.5","44.7","166.1","1.5","2.5","240.6"
"Davis Mills","HOU","538.1","351.8","3,775.0","20.6","14.1","34.2","110.7","0.8","1.9","231.4"
"Marcus Mariota","ATL","419.7","263.5","2,898.3","15.8","11.3","54.6","328.7","2.4","1.2","212.7"
"Zach Wilson","NYJ","453.0","274.0","2,988.0","18.3","11.9","38.7","204.6","2.2","1.6","211.5"
"Mitch Trubisky","PIT","417.4","265.9","2,666.3","15.9","10.4","44.3","213.7","1.8","1.3","189.1"
"Jacoby Brissett","CLE","376.2","235.2","2,745.8","15.5","9.4","30.8","136.7","1.5","2.6","179.9"
"Geno Smith","SEA","349.9","222.6","2,695.2","15.7","9.8","26.0","121.8","1.2","2.5","175.0"
"Deshaun Watson","CLE","146.2","98.2","1,132.9","7.9","3.2","26.2","138.1","1.6","1.2","94.3"
"Kenny Pickett","PIT","190.0","116.8","1,376.5","7.9","5.5","14.5","68.7","0.6","1.0","89.6"
"Drew Lock","SEA","184.2","114.6","1,128.8","6.2","4.1","17.1","56.5","0.6","0.7","73.6"
"Desmond Ridder","ATL","157.1","97.2","1,130.9","5.1","4.6","13.7","66.5","0.5","0.8","69.4"
"Joe Flacco","NYJ","137.3","84.4","918.3","4.9","3.0","5.5","17.9","0.2","0.7","54.8"
"Andy Dalton","NO","57.7","36.4","408.6","2.9","1.7","3.9","13.5","0.1","0.2","27.6"
"Tyrod Taylor","NYG","43.0","26.2","288.7","1.7","1.0","4.3","25.0","0.1","0.3","20.0"
"Taysom Hill","NO","11.0","7.2","77.8","0.3","0.3","21.7","99.7","0.9","0.0","19.6"
"Sam Darnold","CAR","25.0","15.3","287.0","1.6","1.2","1.3","16.7","0.1","0.2","18.9"
"Tyler Huntley","BAL","31.2","20.3","238.5","1.6","1.3","6.4","34.7","0.2","0.2","18.8"
"Joshua Dobbs","CLE","26.5","17.3","253.0","1.1","1.2","3.8","32.3","0.2","0.1","17.7"
"Trace McSorley","ARI","36.6","23.1","270.8","1.2","1.3","3.2","11.7","0.3","0.2","16.7"
"Shane Buechele","KC","0.0","0.0","287.1","0.9","1.7","0.0","8.3","0.4","0.2","16.2"
"Jimmy Garoppolo","SF","32.0","20.7","267.3","1.6","1.1","0.9","1.4","0.0","0.1","16.2"
"Josh Johnson","DEN","0.0","0.0","260.7","1.6","2.1","0.0","0.3","0.2","0.2","15.2"
"Cooper Rush","DAL","33.2","20.8","233.8","1.5","0.5","2.6","4.5","0.0","0.1","15.1"
"Trevor Siemian","CHI","33.9","20.2","267.3","1.1","1.0","2.5","7.3","0.0","0.1","15.0"
"Gardner Minshew II","PHI","29.9","19.2","206.7","1.4","0.7","4.3","16.6","0.1","0.2","14.8"
"Colt McCoy","ARI","32.3","20.7","226.7","1.3","0.7","3.3","10.3","0.0","0.0","14.8"
"Teddy Bridgewater","MIA","28.5","18.6","199.1","1.2","0.5","2.1","7.3","0.0","0.1","12.9"
"Taylor Heinicke","WAS","23.9","15.1","164.9","1.4","0.7","2.6","12.4","0.0","0.1","12.5"
"Malik Willis","TEN","22.3","13.8","188.8","1.0","1.2","2.0","11.3","0.1","0.1","12.1"
"Jordan Love","GB","20.6","12.4","172.2","1.1","0.9","2.4","8.5","0.1","0.1","11.2"
"Kyle Allen","HOU","27.3","17.3","187.6","1.1","0.7","1.6","6.2","0.1","0.8","10.5"
"Brian Hoyer","NE","21.5","13.4","169.5","1.0","0.8","1.6","1.9","0.1","0.1","10.4"
"Brett Rypien","DEN","20.5","12.4","140.0","1.2","0.5","1.5","4.8","0.0","0.3","9.9"
"C.J. Beathard","JAC","23.6","14.6","162.3","1.1","0.6","1.5","6.2","0.0","0.7","9.8"
"Case Keenum","BUF","19.2","12.1","136.6","1.0","0.4","1.2","4.6","0.0","0.1","9.7"
"Kyle Trask","TB","22.0","13.0","135.0","1.0","0.0","1.0","3.0","0.0","0.0","9.7"
"Nate Sudfeld","DET","23.2","14.1","160.1","0.8","0.9","1.5","6.7","0.1","0.2","9.6"
"Blaine Gabbert","TB","19.2","12.0","135.9","1.1","0.3","1.1","3.6","0.0","0.3","9.4"
"Jarrett Stidham","LV","20.8","13.2","146.8","1.0","0.8","1.6","4.0","0.0","0.1","9.3"
"John Wolford","LAR","19.3","12.0","135.0","0.8","0.4","2.0","8.4","0.0","0.1","9.0"
"Nick Foles","IND","17.3","11.1","121.7","1.0","0.5","1.6","7.0","0.0","0.1","8.7"
"Nick Mullens","MIN","19.3","12.3","144.6","1.0","0.4","1.4","2.5","0.0","0.6","8.4"
"Chase Daniel","LAC","18.5","11.4","125.6","0.8","0.4","1.5","4.6","0.0","0.2","8.1"
"Sam Howell","WAS","16.4","10.0","108.9","0.7","0.5","2.0","8.8","0.1","0.1","7.9"
"Chad Henne","KC","15.9","10.1","112.8","0.9","0.6","1.8","4.3","0.0","0.2","7.6"
"Tim Boyle","DET","12.0","7.0","81.0","1.0","0.0","0.0","0.0","0.0","0.0","7.2"
"Brandon Allen","CIN","16.0","10.0","111.8","0.7","0.2","0.8","3.2","0.0","0.2","7.2"
"PJ Walker","CAR","18.4","11.7","125.7","0.5","0.7","1.1","3.5","0.0","0.4","6.2"
