"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Jonathan Taylor","IND","326.7","1,603.4","15.0","42.4","348.4","2.0","1.6","294.2"
"Derrick Henry","TEN","362.5","1,621.2","13.0","26.7","213.5","1.1","1.0","265.8"
"Christian McCaffrey","CAR","240.7","1,073.2","8.1","88.3","749.6","4.1","0.5","253.9"
"Austin Ekeler","LAC","219.8","954.1","9.0","71.5","633.1","4.7","0.7","239.4"
"Joe Mixon","CIN","288.2","1,203.2","9.5","46.1","339.1","2.4","0.9","223.8"
"Alvin Kamara","NO","218.0","983.7","8.3","58.3","515.8","3.9","0.3","222.5"
"Dalvin Cook","MIN","264.4","1,201.6","9.6","43.5","322.0","1.6","1.8","215.8"
"Najee Harris","PIT","294.0","1,179.5","7.5","57.4","381.2","1.9","0.4","211.5"
"Aaron Jones","GB","194.8","942.7","6.2","62.8","509.2","3.7","0.8","203.4"
"Leonard Fournette","TB","232.4","962.5","8.8","56.7","389.8","2.3","0.4","201.4"
"James Conner","ARI","227.6","926.9","10.0","44.3","351.6","2.2","0.8","199.4"
"Nick Chubb","CLE","247.5","1,202.6","9.0","24.6","196.6","1.0","0.9","197.8"
"Javonte Williams","DEN","229.5","1,008.0","8.1","46.5","353.2","2.4","1.1","197.4"
"Saquon Barkley","NYG","245.2","1,025.1","6.9","55.9","423.9","2.0","0.8","197.0"
"D'Andre Swift","DET","220.1","931.5","6.7","65.3","486.6","2.6","1.3","194.4"
"David Montgomery","CHI","229.3","931.8","7.5","44.7","348.0","2.0","0.7","183.7"
"Ezekiel Elliott","DAL","231.0","971.8","7.7","41.2","286.0","1.9","1.7","180.4"
"Elijah Mitchell","SF","229.1","1,001.6","7.6","28.8","220.6","1.4","0.3","175.5"
"Breece Hall","NYJ","219.0","1,000.7","6.8","37.0","279.4","1.4","1.2","175.2"
"Cam Akers","LAR","229.9","991.1","7.2","33.5","262.0","1.7","2.4","173.9"
"Damien Harris","NE","210.4","973.6","10.0","18.7","139.3","0.6","1.2","172.5"
"Josh Jacobs","LV","224.7","943.5","8.0","36.6","251.7","0.9","1.4","170.2"
"J.K. Dobbins","BAL","204.1","925.4","8.0","30.5","223.8","1.4","0.5","169.9"
"Travis Etienne Jr.","JAC","185.1","851.6","5.7","49.4","398.3","2.0","1.1","168.7"
"Miles Sanders","PHI","204.5","1,034.2","6.0","29.9","212.1","1.1","1.4","164.4"
"Antonio Gibson","WAS","196.9","881.2","6.8","32.8","240.4","1.4","1.5","158.4"
"Rashaad Penny","SEA","193.8","965.9","6.9","21.6","161.1","0.7","0.8","156.4"
"AJ Dillon","GB","182.1","806.9","6.7","33.5","272.1","1.5","0.8","155.0"
"Dameon Pierce","HOU","216.6","906.8","6.0","29.3","225.2","1.1","1.0","153.9"
"Clyde Edwards-Helaire","KC","181.3","789.8","5.8","36.1","271.5","2.1","1.0","151.2"
"Devin Singletary","BUF","180.3","832.7","5.8","33.8","228.6","1.4","1.0","147.0"
"Tony Pollard","DAL","155.4","726.9","3.9","45.9","376.7","2.2","0.4","146.2"
"Rhamondre Stevenson","NE","174.4","738.7","6.6","33.7","259.0","1.3","0.5","146.1"
"Cordarrelle Patterson","ATL","134.2","601.2","4.3","44.3","398.8","2.6","0.3","140.8"
"Chase Edmonds","MIA","166.3","718.9","4.2","45.6","331.1","1.8","0.3","140.6"
"Melvin Gordon III","DEN","150.8","684.2","5.9","24.6","189.6","1.2","1.4","127.1"
"Kareem Hunt","CLE","131.7","544.8","4.5","40.6","309.0","1.9","0.2","123.4"
"Michael Carter","NYJ","133.3","556.3","3.3","32.7","269.6","1.3","0.3","109.2"
"Raheem Mostert","MIA","130.3","650.7","4.4","16.3","126.1","0.9","1.2","107.1"
"James Robinson","JAC","146.1","584.5","4.6","23.2","174.3","0.7","0.8","106.3"
"Darrell Henderson Jr.","LAR","131.5","526.7","3.8","23.1","178.5","1.3","0.1","100.8"
"Jamaal Williams","DET","133.3","558.0","3.6","22.5","149.2","0.8","0.2","96.8"
"Brian Robinson Jr.","WAS","130.9","562.6","4.4","16.4","122.2","0.5","0.6","96.4"
"Ken Walker III","SEA","151.7","573.5","4.1","16.1","110.6","0.4","0.5","94.5"
"James Cook","BUF","93.1","402.1","2.9","30.6","240.9","1.7","0.4","91.1"
"Nyheim Hines","IND","75.1","288.7","2.0","44.7","356.7","1.9","0.4","86.8"
"Kenneth Gainwell","PHI","87.7","363.3","3.4","30.4","242.6","1.2","0.7","86.7"
"Mark Ingram II","NO","116.3","479.3","3.4","18.6","144.8","0.6","0.4","85.9"
"Alexander Mattison","MIN","109.1","438.4","2.8","24.7","182.8","0.9","0.4","83.7"
"J.D. McKissic","WAS","49.9","223.5","1.3","47.4","369.3","1.9","0.2","78.2"
"Rex Burkhead","HOU","76.4","331.2","2.3","29.9","239.6","1.2","0.2","77.7"
"Rachaad White","TB","87.3","345.2","3.0","21.3","165.0","1.1","0.4","75.1"
"Tyler Allgeier","ATL","127.2","477.6","2.7","12.9","93.3","0.3","0.4","74.5"
"Khalil Herbert","CHI","111.6","402.5","2.6","18.4","137.0","0.6","0.3","72.6"
"Marlon Mack","SF","135.0","389.5","2.7","12.3","84.7","0.5","0.1","66.5"
"Gus Edwards","BAL","93.4","398.6","3.0","6.2","50.4","0.2","0.5","63.2"
"Zamir White","LV","97.2","352.9","3.1","9.4","65.1","0.3","0.3","61.9"
"Jerick McKinnon","KC","46.3","212.5","1.6","27.6","217.4","1.3","0.3","59.9"
"D'Onta Foreman","CAR","74.2","376.9","2.5","7.0","60.1","0.2","0.9","57.9"
"Ameer Abdullah","LV","37.0","175.6","0.9","35.7","257.6","1.4","0.1","56.9"
"Boston Scott","PHI","69.3","296.3","2.7","8.8","64.1","0.2","0.4","53.2"
"Sony Michel","LAC","73.2","303.0","2.3","9.4","70.2","0.2","0.2","52.0"
"Damien Williams","ATL","63.9","243.3","1.5","20.4","153.9","0.5","0.3","51.2"
"Dontrell Hilliard","TEN","41.4","199.7","1.2","24.2","183.2","0.7","0.5","49.1"
"Ronald Jones II","KC","53.1","261.2","2.7","9.3","62.5","0.2","0.5","49.1"
"Isaiah Spiller","LAC","61.4","245.7","1.8","12.4","92.2","0.4","0.2","46.3"
"Eno Benjamin","ARI","60.0","243.3","1.7","12.3","98.1","0.3","0.3","46.2"
"Matt Breida","NYG","65.8","271.8","1.3","12.1","91.0","0.5","0.7","45.7"
"Samaje Perine","CIN","57.3","215.6","1.2","19.9","139.4","0.6","0.2","45.7"
"Darrel Williams","ARI","46.7","201.9","1.8","13.4","106.8","0.6","0.1","44.8"
"Isiah Pacheco","KC","55.5","224.3","2.0","10.6","71.3","0.4","0.3","43.1"
"Phillip Lindsay","IND","56.0","288.4","1.8","4.4","33.8","0.1","0.3","43.0"
"Tevin Coleman","SF","16.0","263.7","1.4","9.8","72.5","0.1","0.0","43.0"
"J.J. Taylor","NE","0.0","235.9","2.0","7.8","57.2","0.3","0.2","42.3"
"Mike Davis","BAL","48.4","229.7","1.8","11.1","77.1","0.2","0.5","41.9"
"Jeff Wilson Jr.","SF","46.1","172.6","1.6","11.2","83.5","0.6","0.3","37.8"
"D'Ernest Johnson","CLE","34.2","197.4","1.4","9.7","77.0","0.2","0.1","37.2"
"Chuba Hubbard","CAR","44.2","186.3","1.2","12.8","89.3","0.5","0.3","36.9"
"Justin Jackson","DET","17.9","147.8","1.3","11.7","96.0","0.5","0.3","34.8"
"Tyler Goodson","GB","0.0","170.3","1.6","7.8","63.8","0.4","0.2","34.8"
"Ke'Shawn Vaughn","TB","44.5","188.1","1.7","6.8","48.3","0.1","0.4","33.8"
"Hassan Haskins","TEN","51.4","204.0","1.2","7.0","50.2","0.2","0.2","33.6"
"Kenyan Drake","BAL","27.0","152.2","1.0","13.5","90.4","0.5","0.1","33.0"
"Anthony McFarland Jr.","PIT","35.0","165.8","1.0","7.1","52.7","0.7","0.2","32.0"
"Zack Moss","BUF","43.9","180.3","1.4","5.6","41.4","0.2","0.1","31.8"
"Craig Reynolds","DET","31.7","171.7","1.1","7.6","55.3","0.2","0.2","30.2"
"Joshua Kelley","LAC","45.0","177.0","1.3","6.8","46.0","0.2","0.6","30.1"
"Tyrion Davis-Price","SF","34.8","159.9","1.4","6.6","45.9","0.2","0.2","30.0"
"Myles Gaskin","MIA","34.3","168.8","1.0","10.9","68.6","0.2","0.5","29.9"
"Kyle Juszczyk","SF","11.7","37.3","0.5","22.5","171.0","1.0","0.2","29.6"
"Chris Evans","CIN","27.3","99.9","0.6","15.3","111.3","0.8","0.1","29.0"
"Benny Snell Jr.","PIT","39.2","168.2","1.0","5.3","36.4","0.1","0.2","26.6"
"Giovani Bernard","TB","16.1","100.2","0.6","11.0","82.9","0.6","0.2","25.2"
"Trey Sermon","PHI","26.7","129.9","1.1","6.5","42.7","0.2","0.1","24.8"
"Travis Homer","SEA","15.3","80.7","0.6","12.4","98.0","0.6","0.1","24.6"
"Deon Jackson","IND","29.8","126.1","1.1","6.1","44.0","0.3","0.2","24.5"
"Kyren Williams","LAR","18.6","120.0","1.3","5.6","43.9","0.1","0.2","24.4"
"Pierre Strong Jr.","NE","13.1","114.3","1.1","5.9","43.0","0.2","0.2","22.9"
"Jaylen Warren","PIT","29.5","134.0","1.0","5.1","32.5","0.1","0.2","22.8"
"Snoop Conner","JAC","25.2","127.6","0.9","6.1","41.6","0.1","0.2","22.6"
"Brandon Bolden","LV","19.0","75.8","0.5","12.5","104.0","0.3","0.1","22.6"
"Dare Ogunbowale","HOU","12.6","91.7","0.6","10.3","82.2","0.3","0.1","22.3"
"Ty Johnson","NYJ","9.1","88.2","0.6","9.2","82.2","0.4","0.3","22.3"
"Ty Montgomery","NE","17.5","70.9","0.3","15.3","118.9","0.3","0.2","22.1"
"Qadree Ollison","DAL","9.9","119.4","1.0","5.9","37.8","0.2","0.6","21.6"
"Royce Freeman","HOU","22.4","120.1","0.7","6.2","42.0","0.2","0.0","21.5"
"DeeJay Dallas","SEA","18.3","89.2","0.6","9.2","62.3","0.2","0.2","20.0"
