"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Cooper Kupp","LAR","120.9","1,560.6","12.1","4.1","25.1","0.1","0.4","230.8"
"Ja'Marr Chase","CIN","92.2","1,408.7","10.6","8.1","52.5","0.2","0.4","209.9"
"Justin Jefferson","MIN","102.8","1,471.9","9.6","2.6","17.0","0.1","0.3","206.2"
"Deebo Samuel","SF","70.2","1,014.7","6.4","67.1","381.5","4.4","0.6","202.8"
"Davante Adams","LV","105.5","1,302.4","9.8","0.0","0.0","0.0","0.2","188.4"
"Stefon Diggs","BUF","100.5","1,227.8","8.8","0.0","0.0","0.0","0.3","175.2"
"Tyreek Hill","MIA","90.7","1,168.0","8.4","8.3","57.9","0.4","0.3","174.8"
"Mike Evans","TB","83.1","1,140.1","10.0","0.0","0.0","0.0","0.2","173.5"
"CeeDee Lamb","DAL","89.8","1,215.9","7.7","5.0","35.9","0.1","0.2","171.6"
"Tee Higgins","CIN","85.1","1,177.9","8.0","0.0","0.0","0.0","0.3","164.9"
"A.J. Brown","PHI","79.5","1,143.4","8.2","0.5","3.8","0.0","0.2","163.2"
"Mike Williams","LAC","74.6","1,084.8","8.0","0.0","0.0","0.0","0.1","156.0"
"Michael Pittman Jr.","IND","91.3","1,125.3","6.7","4.6","32.2","0.1","0.3","155.9"
"Gabe Davis","BUF","64.9","995.6","8.6","0.0","0.0","0.0","0.2","150.8"
"Brandin Cooks","HOU","91.5","1,109.1","6.1","2.5","16.4","0.1","0.2","149.4"
"DJ Moore","CAR","84.7","1,118.3","5.5","5.5","38.3","0.1","0.4","148.9"
"Keenan Allen","LAC","97.1","1,065.0","6.9","0.2","1.5","0.0","0.3","147.5"
"DK Metcalf","SEA","80.0","1,077.0","6.6","0.2","1.3","0.0","0.3","146.7"
"Diontae Johnson","PIT","94.6","1,053.0","5.7","4.0","28.8","0.1","0.4","141.8"
"Terry McLaurin","WAS","78.0","1,060.8","5.8","0.3","2.5","0.0","0.2","140.8"
"Courtland Sutton","DEN","68.8","978.3","7.2","0.0","0.0","0.0","0.2","140.7"
"Amon-Ra St. Brown","DET","88.8","976.2","6.2","6.5","42.0","0.2","0.3","139.7"
"Chris Godwin","TB","84.4","972.2","6.9","1.8","9.8","0.1","0.4","139.3"
"Jerry Jeudy","DEN","74.2","1,015.8","6.0","1.0","6.1","0.0","0.4","137.9"
"Darnell Mooney","CHI","79.2","1,046.2","4.8","4.7","25.4","0.1","0.2","135.9"
"Jaylen Waddle","MIA","86.0","976.2","5.9","3.6","22.9","0.2","0.4","135.8"
"Tyler Lockett","SEA","75.2","999.8","5.7","2.1","13.3","0.1","0.2","135.4"
"Marquise Brown","ARI","76.5","991.3","5.8","2.2","14.9","0.1","0.4","134.8"
"Elijah Moore","NYJ","73.4","943.2","5.8","5.7","40.5","0.1","0.3","133.5"
"Michael Thomas","NO","83.2","951.2","6.3","0.0","0.0","0.0","0.2","132.7"
"Hunter Renfrow","LV","84.9","907.5","6.3","1.0","5.8","0.0","0.5","128.3"
"Amari Cooper","CLE","75.7","944.3","5.6","0.0","0.0","0.0","0.3","127.7"
"Allen Robinson II","LAR","75.2","901.0","6.1","0.0","0.0","0.0","0.2","126.3"
"JuJu Smith-Schuster","KC","76.9","843.3","6.9","1.6","9.4","0.1","0.3","126.3"
"Adam Thielen","MIN","73.3","838.8","7.2","0.0","0.0","0.0","0.3","126.2"
"Robert Woods","TEN","73.9","893.5","5.0","5.6","36.5","0.3","0.2","124.8"
"Rashod Bateman","BAL","73.5","909.2","5.2","0.2","2.8","0.0","0.3","121.9"
